name,score ,Type of server ,what specifcally ,Activity ,location,language,company/github projects?,community created projects,governance type,Research paper reading group?,paper channel?,"vc events,office/coworking hours,etc",jobs board/opportunities/funding links,links: (the links usually has the discord invite; google or dm me  if it isnt there) disc:seonresearch,notes
EleutherAI,8.1,research ,"usually LLM, but most types of research is done here",very active,discord,english ,yes,yes,ngo,yes,yes,yes ,yes,https://www.eleuther.ai/,Lots of resources; community projects to do and reading groups.
Cohere for AI,8.1,research,"Making AI's,learing group,lots of stuff now",very active,discord,english ,yes,yes,company,yes,yes,yes ,yes,https://share.hsforms.com/10OrjljwpQ52ILJA6ftENIwch5vw ,"pretty good! lots of stuff to do for various skill levels,pretty active as well"
Alignment Jams,7.8,Hackathons,Alignment,very active,discord,english ,yes,yes,ngo,no,no,yes ,yes,https://alignmentjam.com/,the only ai alignment hackathon so that bumps the score up a lot. more follownoups would be nice though
manifold research group,7.8,research,"autonomous ai,among others",active,discord,english ,yes,no,ngo,yes,no,yes,yes,https://www.manifoldrg.com/,another pretty standard research server; this one focuses on various things
ainoplans,7.6,alignment,various ai stuff ,active,discord,english ,yes,yes,singular,yes,yes,yes,no,https://ainoplans.com/,server is active and owners do stuff
Open world labs,7.5,research,"various AI gaming stuff,among others",very active,discord,english ,yes,no,company,no,no,no,no,https://openworldlabs.ai/,another pretty standard research server; this one focuses on various things
Mechanistic interpretability discord,7.4, research ,mech interp (transformer research),active,discord,english ,yes,yes,singular,yes,yes,no,yes,https://www.lesswrong.com/posts/ePGwx2uyjnvT8vWEL/mechanisticnointerpretabilitynoreadingnogroup ,Useful if you want to go into or try mechanistic interpretability/learn about it
Gpu mode,7.4,GPU,CUDA,very active,discord,english ,yes,no,ngo,yes,yes,no,yes,https://github.com/gpunomode,pretty good education server esp for cuda stuff (goes hand in hand with ai development)
Active Inference institute,7.3,research,active inference  (think:markov chains among a lot of other things),very active,discord,english ,yes,no,ngo,no,no,yes,yes,https://www.activeinference.org/,"does active inference, pretty active, different from most regular ai servers"
Developmental Interpetability (slt and ai safety),7.3,research, singular learning theory among others,semi active,discord,english ,yes,yes,singular,yes,yes,no,yes,https://devinterp.com/,Decently activeno there is discussion about other non SLT interp things as well.
latent space (nee/dev/invest),7.3,general,discord server for a podcast,semi active,discord,english ,no,no,company,yes,yes,yes,yes,https://www.latent.space/,Pretty good server; explanations for the papers are nice
alignment ecosystem development,7.2,alignment,ai,semi active,discord,english ,yes,yes,ngo,no,no,yes,no,https://alignment.dev/,"site is good, server is good too."
Marin,7.1,research,open lab to build foundational models,active,discord,english ,yes,no,academia,no,no,no,no,https://marin.community/blog/2025/05/19/announcement/,didnt actually get in
open neuromorphic,7.1,research,neuromorphsno learning about AI from a brain approach,semi active,discord,english ,yes,no,ngo,no,no,yes,yes,https://opennoneuromorphic.org/,A lot of research on brain inspired AI.
Nous Research,7.1,Research,LLM,active,discord,english ,yes,no,company,no,no,no,no,https://nousresearch.com/,standard solid research server and group; semi active public projects to do
open model initative,7.1,general,creating OSS multimodal models ,active,discord,english ,yes,yes,ngo,no,no,yes,no,https://github.com/OpennoModelnoInitiative,group thats trying to do open models
Berkely Ai safey initative,7.1,"research,general","alignmentnopolicy,mech interp,etc",active,slack,english ,no,yes,academia,no,no,yes,yes,https://berkeleyaisafety.com/,"nice server,its on slack."
project ai (tohouai),7.1,"generation,general","tohou based ai images,among other stuff",very active,discord,english ,no,no,singular,no,no,no,no,https://discord.gg/touhouai,"very active, general ai server but also more advanced.helpful"
unitary foundation,7.1,research,quantum stuff,active,discord,english ,yes,yes,ngo,no,yes,yes,no,https://unitary.foundation/,seems interesting.
